PC1,PC2,PC3,PC4,PC5,PC6
-416.80725081966887,-433.8246879583205,-151.5233566237277,23.440335915320958,10.87575943559466,19.33285054363116
-415.5538145828366,-442.2477453506913,-136.2728117073528,7.221569383064747,44.49026369711224,43.36991180645418
-423.61443001584985,-457.1470953925792,-132.10040749662355,1.9592476312450628,44.374910198318034,29.374774455708405
-416.24214137287055,-439.25831669122357,-149.31371530127802,11.682631485206173,28.001278454055438,8.89915551946173
-432.0773285424355,-446.97596893524474,-166.60986070182997,-3.4105359900758287,-0.45640877343127784,-6.651766146486416
-430.5045125065689,-445.18887360757765,-166.70872472962486,37.96152634921296,10.403866781088865,12.333054556668168
-420.54653349682013,-442.7324785646579,-143.3996364483617,55.874895809358236,27.16445780998386,39.19506618932925
-433.54566175464225,-456.47438138621635,-138.0076710684711,5.9302129168601425,14.954476462891392,-7.941187041482879
-440.75113459227214,-461.1551670949508,-145.7905761339909,18.89358310825031,17.993719860975006,4.315461850674838
-452.0260934264093,-468.2273364162169,-156.9930896305294,1.288893796500929,9.496403017158826,14.943386129274902
-449.1183851686934,-466.67912075109564,-159.593150352119,27.188968203217485,11.70940305652718,20.338038484777165
-461.70070422826393,-481.5870979766111,-157.65333848467725,11.138540251293449,-2.945202802433087,-2.454585547296847
-405.7169749600048,-421.8649902422896,-147.48645205043405,52.43774533556305,5.502992180304332,-5.1829241351593325
-411.75200366090803,-434.04536995344927,-146.40983609112237,80.09073724764133,15.565125304587397,41.59735222928323
-419.49825718213856,-438.35745413637426,-147.08355901032172,53.61257939033976,24.791104643221928,55.60040232376009
-393.17376444432756,-372.31989333660874,-211.78366576088277,42.104377651123485,66.01607459969145,2.6663336483831266
-370.45297805402663,-348.59605722718214,-214.68495505282493,33.472695870326845,56.360346345411344,8.851646994172409
-363.1179443171541,-349.24541310932193,-197.94345518811622,33.21086194380544,65.43822702037542,6.525708653411444
-363.70436141882203,-360.959415770687,-179.4061912916609,27.246770716771323,58.951852166727285,-9.165037211277742
-365.99377558079635,-370.5551146878671,-170.55368179990046,19.948809823346664,63.15745371230496,-9.077228625155568
-377.9390067939839,-378.3500896409738,-178.56830855903303,20.70183348220766,62.722678914938214,2.887289348584874
-375.51474228042565,-370.07127238551334,-187.27781835103883,26.363161125152033,59.114890669444904,18.289846091471027
-384.2722719687905,-374.8701807512025,-201.39317735865058,33.7376092520833,43.98874940899228,12.266963156079987
-382.15042834739984,-373.77684643274654,-194.99704357390522,34.3959816968441,43.694904605845984,8.085687267892368
-379.7552072596291,-367.2915024190732,-198.51750885503387,45.42358806027394,30.415926776172242,2.6616979047246296
-380.6807409074521,-368.81305728599716,-197.90557689718187,35.54811885486393,37.25673138620357,-6.702520421301852
-366.352584583279,-352.1669797150711,-194.74249822334275,32.42762147758998,48.52098775553514,0.7447409564215057
-364.17247025040797,-347.988554709372,-194.02643804747012,39.77247705246795,63.56700514476364,15.568510231525122
-355.74672093446355,-328.80947544108926,-209.43267811053573,46.00006139605185,58.31772086456221,14.716573076876793
-357.32703755087834,-324.9988362648414,-220.92293123409763,33.72739241198495,41.1429148069647,7.494781190100117
-360.10165909906425,-333.0142959880319,-220.45082412090198,55.71406085359054,43.26650924112565,-18.999938793672097
-370.2655925040799,-354.30812926191834,-206.62344544190051,52.61368651785861,56.38852382541435,-20.930740847909597
-375.92899888082076,-361.0668276175827,-202.5009664035121,50.483363304560015,50.7965021076175,-18.185400407389974
-358.4139260147193,-341.48067271957484,-201.56507641468056,58.74863016994493,46.82134790189029,2.4584124377135907
-347.81718595077257,-327.824498175991,-197.3592923169642,55.238989145623876,38.0027993157018,4.956946719234377
-308.57327803230504,-293.8328680521741,-165.5138678257191,41.22679200059139,25.05197118460336,-2.8781201284834985
-297.3044851374335,-273.2074736021371,-183.85232559006988,36.926149104407486,26.87634817995172,-1.4886337143384578
-305.3679465621433,-275.77660307391926,-189.06416287032698,38.408239296497385,4.842633246182537,2.9195846306460274
